"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"Eif1a",8.04262002910994,8.41825918919583,8.36400513199722,8.26270283467912,8.09447608179723,8.18037935905796,8.78176101838975,8.77343389577865,8.91638893690667,8.96655574374562,9.29835053058595,9.47347822336345
"Elf3",6.06543092071797,6.22425081468696,7.1456256289426,7.23462651980901,6.53657225424251,6.70045741800684,7.84504855864163,6.96641543768256,7.49596697837722,8.29272048290665,8.09202314454404,8.412923485727
"Epha2",8.02908022022889,8.10077689608135,8.29335358626442,8.1979847658848,8.21713303182873,8.2319593252889,9.61513191313661,8.97335620086761,9.60324537650208,10.3394614385313,10.5593881597659,10.6064557211281
"Erf",6.52074042832818,6.79604638292306,7.20317607531918,6.39294616007008,6.59532789695015,6.28146914690004,7.3951627155769,6.84705223361097,7.54363449352573,7.23872770032216,8.01201139257953,8.06249961298109
"F3",8.38054005589219,8.4672551255339,8.69152695379825,9.5230285838041,9.00112134043268,9.09792092074905,10.7264076744677,10.1629874191391,10.5788479108295,11.4477087688627,11.7613860291426,11.2551066073929
"Fabp1",4.52245167126764,6.5890671766072,5.17142481865777,4.16265574805414,4.35768969568796,4.16729689701987,4.63129748620472,4.33823923793971,4.28458188174438,4.25039055191085,4.28987791220405,4.2041442018717
"Fgf7",7.92029591120709,7.39013111788246,7.4266458274531,7.49816651002943,7.56102521533436,7.48490979393909,6.86803425419824,7.29741482884505,6.93769944362866,6.45994819625562,6.52672091757924,6.4259126526315
"Fgfbp1",6.36821549190776,6.14909344102293,6.66205056359422,7.6820364958417,7.41683708392131,7.51508599504232,8.03490518506415,7.36965184025283,7.37131532130905,8.47701341644406,8.97268571573973,8.8715206556706
"Fgfr4",7.84441961065056,7.64842303951675,7.89875712486884,7.45610813160102,7.16275064478359,7.3366520367379,6.58521928458769,6.43755505933347,6.45342675730207,6.76020037659746,6.36508417926139,6.22654806847219
"Fkbp5",6.3838533695923,6.23081596817648,6.58708324045872,7.82287520715566,7.54803670404636,7.23727362238675,7.69025110536046,8.2291967013709,8.04205879140827,8.54749719640332,8.7837648297487,8.25833471195826
"Foxf2",7.88437542662314,7.52250510802667,7.75589602554089,7.11989029932564,6.88212272134949,6.83480130768299,6.5686504487819,6.35783895725503,6.2242789477638,6.25680361038589,6.4516179519292,6.51707057886121
"Flt3l",8.89814223113256,8.74261800266275,8.91298835555003,8.29405982090936,8.21678785196549,8.38257938100203,8.070071773639,7.71291700007949,7.85222244775281,7.11120494290879,7.19517623213549,7.04854275087679
"Fos",7.91860284675847,8.80591597088455,8.43285936857411,8.0018046076729,8.76371336077599,7.57264975166201,8.52065925358587,7.28779123461275,7.84558350104853,10.4084914963695,9.25372014159962,10.1469199363481
"Fosb",5.87595000901821,6.84244454970783,6.79264401235683,6.08388542779567,7.30127326057202,5.96078646144698,7.12460159375195,6.60197657814289,7.14241192008612,9.94426796248188,9.10612902870172,10.2355879373827
"Fosl1",4.82012592468126,5.48228441085975,5.25046414425924,5.39887806959678,5.1396611981526,4.98558650878958,8.01419535722814,6.83208301292843,7.65105364249492,8.37095129270017,9.73771065975642,8.76444551437029
"Fosl2",8.16643716431098,8.56385870660723,8.78329825800001,8.6711896885726,8.82108585617548,8.54662124872626,9.77156203803984,9.10860099659217,9.33169409327524,9.83909963300811,10.114331659602,10.3787445932832
"Fpr1",6.5026514247463,6.86802346135758,6.76502769827995,6.40549561128476,6.32559171316606,6.19441829397238,6.40311901169025,6.62244990107814,5.82234650230075,7.11169423547411,6.85455560112023,7.04938788435348
"Brd2",8.53394886942816,8.43707118121174,8.46593280447745,8.3013488221727,8.27740481123156,8.35376553799424,9.06368824637311,8.77248076389696,8.93706539753236,9.73184389441834,9.73631596283475,9.78251228331693
"Ftl1",7.70215607303883,7.46398966813864,7.27354945997685,7.9677567724345,7.60643178805448,7.29315462435008,8.9871284688246,8.91868764523251,8.92667916223698,8.77148830060023,9.16643902569622,9.13350906891656
"G0s2",8.0186940638022,7.57403134385892,7.99006089581564,8.28917216910911,8.3163471652721,8.40961427259896,6.90580403637368,6.70706883752593,6.95381675858843,7.58176154150704,7.0941701390105,7.41936350652922
"Gas5",7.74228023405795,7.68573162123535,7.51302052993658,7.3136492613308,7.20485467822091,6.78169365755699,8.288200380557,8.18081159742012,8.3241592791343,7.96563063311584,8.34191338106305,8.45459839978669
"Gata5",6.97552006765609,7.14582336090691,7.20602491314167,7.08459087341229,7.21554010453569,7.15814401775664,6.17972267881255,6.16166155947727,6.06062142145733,6.34539419995996,6.10710403882221,5.96719654475224
"Gch1",6.1173304282645,6.03056651718577,6.15284296465214,6.00559495562375,5.92973156257828,6.14923215599154,7.10522712896986,6.61519379795052,7.00302641494429,7.43654144587615,7.72515462074487,7.57701601414275
"Gem",7.2994791055903,7.74156005991407,7.51403937103662,6.79975315002334,6.57741607261383,6.65885326070649,8.26710336438716,8.56614725775577,8.38739527752925,8.53219346135457,8.16668868206797,8.77585577660165
"Gfpt2",7.22683965901893,7.48556796885802,7.64691860209301,8.44702489732651,7.56298903612174,7.57908430183387,8.66982784923731,8.69702199452156,8.47266460367359,9.29078776337372,9.17897353131789,9.46103559080558
"Gja1",8.02162924038138,8.25833445225961,8.37935226305147,8.22049689839236,8.15364933747792,8.03140744088098,9.21119311857679,8.62357846239211,9.0962266267566,9.49861665296016,9.49358464611368,9.69541305612031
"Gclc",9.49699072193986,9.79734853013809,9.82817123317581,9.99521444364214,9.67111586764022,9.76879807455024,11.8472931989532,11.2421405216223,11.8406326560885,11.7689751626439,12.3022661731603,11.8840580093891
"Gclm",8.60353471256139,8.45804099364779,8.45602675554203,8.8537004712051,8.39280077278804,8.70748693061736,9.81105774929819,9.47895417932844,9.71831525642071,9.32998177093038,10.0920600605459,9.70238346734859
"Glp1r",11.5839964412581,11.7892432969493,11.729134372346,10.719142195162,11.2460902683527,10.9493443586537,10.3175750926756,10.9186269637241,10.5425651834556,10.1987330626936,10.5477701747331,10.0223652083943
"Gnrh1",5.70243840898948,5.39144221901382,5.62339237692485,5.44950028653231,5.46891393038155,5.35126156410207,6.76457838122569,6.79950526653054,6.79912652168071,5.76657198155937,6.33024439747693,6.44098626417227
"Lilr4b",7.42751682528719,6.78827935525767,6.73403985566079,6.73597541797339,7.38182114840773,6.29898356099225,8.02410555864699,8.05398099368039,7.57586300352075,7.69385160684355,8.39596348315963,7.71051685662055
"Hspa5",8.53098211263867,8.58984141650962,8.70963048507684,8.68061538668939,8.33893251492674,8.60973943516401,9.00896088886541,8.85692543373559,9.21405245019946,9.43815436114775,9.49413292384044,9.70577356158505
"Gstt2",6.86470369367414,6.39177606695872,6.26161310053248,6.54197475235574,6.66667276658739,6.72778491613301,5.97119209234202,6.1102669071331,5.85460990370545,5.46023233522038,5.53656893778958,5.20093533827325
"Gypa",6.40434689090451,5.65196245501296,6.8722747239298,5.39695665326247,5.50864810701023,5.98642515420042,4.58251286694601,5.04019710594765,4.83488729824081,5.34464104440031,5.52483765025457,5.53349438633209
"H1f0",9.08648772890041,9.19069655937607,9.04763151188459,9.0449654338455,9.10381611265041,8.99108168500431,7.93859657916806,8.46229886390614,7.92052737122801,7.73245812598365,7.56538741966533,7.5628603406437
"Has1",4.72419608997686,4.90551643875655,4.95469462979081,5.5414119107167,5.07633285869776,4.85895966192246,6.33781799526229,5.94019123517989,5.96367958228767,7.04169875463794,6.64701502288108,7.19010119537405
"Hbegf",8.14133003804586,8.30210429766519,8.16545535359808,7.90417444692484,7.97967884499084,8.03992842876432,9.27157401081329,8.79914492381875,9.44914854698214,10.1796689528139,10.2262864425271,10.377494276607
"Hey1",9.07547299361032,8.61445963175849,9.21155902746193,8.85995520195395,9.38131895055293,9.25161719809438,7.86977200068915,7.85228014279186,7.92517433977759,7.95867672964926,8.09267762820167,7.9581709785339
